"Time","0Interest","1Cliche","2Funny","3Dumb","4Wtf"
"0","0","0","0","0","0"
"2","0","0","0","0","0"
"4","0","0","0","0","0"
"6","0","0","0","0","0"
"8","0","0","0","0","0"
"10","14","0","0","0","0"
"12","14","0","0","0","0"
"14","10","0","0","0","0"
"16","10","0","0","0","0"
"18","10","0","0","0","0"
"20","10","0","0","0","0"
"22","10","0","0","0","0"
"24","10","0","0","0","0"
"26","10","0","0","0","0"
"28","10","0","0","0","0"
"30","10","0","0","0","20"
"32","10","0","0","0","14"
"34","10","0","0","0","12"
"36","10","0","0","0","12"
"38","10","0","0","0","12"
"40","10","0","0","0","4"
"42","10","0","0","0","0"
"44","10","0","0","0","0"
"46","10","0","0","0","0"
"48","20","0","0","0","0"
"50","20","0","0","12","0"
"52","20","0","0","12","0"
"54","20","0","0","12","0"
"56","20","0","0","12","0"
"58","20","0","0","12","0"
"60","20","0","0","12","0"
"62","20","0","0","12","0"
"64","20","0","0","12","0"
"66","20","0","0","12","0"
"68","20","0","0","12","0"
"70","20","0","0","12","12"
"72","20","0","0","12","12"
"74","20","0","0","12","0"
"76","20","0","0","12","0"
"78","20","0","0","12","0"
"80","20","0","0","12","0"
"82","20","0","0","12","0"
"84","20","0","0","12","0"
"86","20","0","0","12","0"
"88","20","0","0","12","0"
"90","20","0","0","12","0"
"92","20","0","0","12","0"
"94","20","0","0","12","0"
"96","20","0","0","12","0"
"98","20","0","0","12","0"
"100","20","0","0","12","0"
"102","20","12","0","12","0"
"104","20","12","0","8","0"
"106","20","12","0","0","0"
"108","20","12","0","0","0"
"110","20","12","0","0","0"
"112","20","12","0","8","0"
"114","20","12","0","6","0"
"116","20","12","0","6","0"
"118","20","12","0","6","0"
"120","20","12","0","6","0"
"122","20","12","0","6","0"
"124","20","12","0","6","0"
"126","20","12","0","6","0"
"128","20","12","0","6","0"
"130","20","12","0","6","0"
"132","20","12","0","6","0"
"134","20","12","0","6","0"
"136","20","12","0","6","0"
"138","20","12","0","6","0"
"140","20","12","0","6","0"
"142","20","12","0","6","0"
"144","20","12","0","6","0"
"146","20","12","0","6","0"
"148","20","12","0","6","0"
"150","20","12","0","6","0"
"152","20","12","0","6","0"
"154","20","12","0","6","0"
"156","20","6","0","6","0"
"158","20","0","0","6","0"
"160","20","0","0","6","0"
"162","20","0","0","6","0"
"164","20","0","0","6","0"
"166","20","0","0","6","0"
"168","20","0","0","6","0"
"170","20","0","0","6","0"
"172","20","0","0","14","0"
"174","20","0","0","14","0"
"176","20","0","0","14","0"
"178","20","0","0","8","0"
"180","20","0","0","8","0"
"182","20","0","0","8","0"
"184","20","0","0","8","0"
"186","20","8","0","8","0"
"188","20","8","0","8","0"
"190","20","8","0","8","0"
"192","20","8","0","8","0"
"194","20","8","0","8","6"
"196","20","8","0","8","6"
"198","20","8","0","8","6"
"200","20","8","0","8","6"
"202","20","8","0","8","6"
"204","20","8","0","8","6"
"206","20","8","0","8","6"
"208","20","8","0","8","6"
"210","20","8","0","8","6"
"212","20","28","0","8","6"
"214","20","28","0","8","6"
"216","20","8","0","8","6"
"218","20","8","0","8","6"
"220","20","8","0","24","6"
"222","20","8","0","24","6"
"224","20","8","0","24","2"
"226","20","8","0","24","2"
"228","20","8","0","24","2"
"230","20","8","0","24","2"
"232","20","6","0","24","14"
"234","20","6","0","24","14"
"236","20","6","0","24","14"
"238","20","6","0","30","14"
"240","20","6","0","0","14"
"242","20","0","0","0","0"
"244","14","0","0","0","0"
"246","14","0","0","0","0"
"248","14","0","0","0","0"
"250","32","0","0","0","0"
"252","32","0","0","0","0"
"254","32","0","0","0","0"
"256","32","0","0","0","0"
"258","32","0","0","0","0"
"260","32","0","0","0","0"
"262","32","0","0","0","0"
"264","32","0","0","0","0"
"266","32","0","0","0","0"
"268","32","0","0","0","0"
"270","32","0","0","0","0"
"272","32","0","0","0","0"
"274","32","0","0","0","0"
"276","32","0","0","0","0"
"278","32","0","0","0","0"
"280","32","0","0","0","0"
"282","32","0","0","0","0"
"284","32","0","0","0","0"
"286","32","0","0","0","0"
"288","32","0","0","0","0"
"290","32","0","0","0","0"
"292","32","0","0","0","0"
"294","32","0","0","0","0"
"296","32","0","0","0","0"
"298","32","0","0","0","0"
"300","32","0","0","0","0"
"302","32","0","0","0","0"
"304","32","0","0","0","0"
"306","32","0","0","0","0"
"308","32","0","0","0","0"
"310","32","0","0","0","0"
"312","32","0","0","0","0"
"314","32","0","0","0","0"
"316","32","0","0","0","0"
"318","32","0","0","0","0"
"320","32","0","0","0","0"
"322","32","0","0","0","0"
"324","32","0","0","0","0"
"326","32","0","0","0","0"
"328","32","0","0","0","0"
"330","32","0","0","0","0"
"332","32","0","0","0","0"
"334","32","0","0","0","0"
"336","32","0","0","0","0"
"338","32","0","0","0","0"
"340","32","0","0","0","0"
"342","32","0","0","0","0"
"344","32","0","0","0","0"
"346","32","0","0","0","0"
"348","32","0","0","0","0"
"350","32","0","0","0","0"
"352","32","0","0","0","0"
"354","32","0","0","0","0"
"356","32","0","0","0","0"
"358","32","0","0","0","0"
"360","32","0","0","0","0"
"362","32","0","0","0","0"
"364","32","0","0","0","0"
"366","32","0","0","0","0"
"368","32","0","0","0","0"
"370","32","0","0","0","0"
"372","40","0","0","0","0"
"374","40","0","0","0","0"
"376","40","0","0","0","0"
"378","40","0","0","0","0"
"380","40","0","0","0","0"
"382","40","0","0","0","0"
"384","40","0","0","0","0"
"386","40","0","0","0","0"
"388","40","0","0","0","0"
"390","40","0","0","0","0"
"392","40","0","0","0","0"
"394","40","0","0","0","0"
"396","40","0","0","0","0"
"398","40","0","0","0","0"
"400","40","0","0","0","0"
"402","40","0","0","0","0"
"404","40","0","0","0","0"
"406","40","0","0","0","0"
"408","40","0","0","0","0"
"410","40","0","0","0","0"
"412","40","0","0","0","0"
"414","40","0","0","0","0"
"416","40","0","0","0","0"
"418","40","0","0","0","0"
"420","40","0","0","0","0"
"422","40","0","0","0","0"
"424","40","0","0","0","0"
"426","40","0","0","0","0"
"428","40","0","0","0","0"
"430","40","0","0","0","0"
"432","40","0","0","0","0"
"434","40","0","0","0","0"
"436","40","0","0","0","0"
"438","40","0","0","0","0"
"440","40","0","0","0","0"
"442","40","0","0","0","0"
"444","40","0","0","0","0"
"446","40","0","0","0","0"
"448","40","0","0","0","0"
"450","40","0","0","0","0"
"452","40","0","0","0","0"
"454","40","0","0","0","0"
"456","40","0","0","0","0"
"458","40","0","0","0","0"
"460","40","0","0","0","0"
"462","40","0","0","0","0"
"464","40","0","0","6","0"
"466","40","0","0","6","0"
"468","40","0","0","6","0"
"470","40","0","0","6","0"
"472","40","0","0","6","0"
"474","40","0","0","6","0"
"476","40","0","0","6","0"
"478","40","0","0","6","0"
"480","40","0","0","6","0"
"482","40","0","0","6","0"
"484","40","0","0","6","0"
"486","40","0","0","6","0"
"488","40","0","0","6","0"
"490","40","0","0","0","0"
"492","40","0","0","0","0"
"494","40","0","0","0","0"
"496","40","0","0","0","0"
"498","40","0","0","0","0"
"500","38","0","0","0","0"
"502","38","0","0","0","0"
"504","38","0","0","0","0"
"506","38","0","0","0","0"
"508","38","0","0","0","0"
"510","38","0","0","0","0"
"512","38","0","0","0","0"
"514","38","0","0","0","0"
"516","38","0","0","0","0"
"518","38","0","0","0","0"
"520","38","0","0","0","0"
"522","38","0","0","0","0"
"524","38","0","0","0","0"
"526","38","0","0","0","0"
"528","38","0","0","0","0"
"530","42","0","0","0","0"
"532","42","0","0","0","0"
"534","42","0","0","0","0"
"536","42","0","0","0","0"
"538","42","0","0","0","0"
"540","42","0","0","0","0"
"542","42","0","0","0","0"
"544","42","0","0","0","0"
"546","42","0","0","0","0"
"548","42","0","0","0","0"
"550","42","0","0","0","0"
"552","42","0","0","0","0"
"554","42","0","0","0","0"
"556","42","0","0","0","0"
"558","42","0","0","0","0"
"560","42","0","0","0","0"
"562","42","0","0","0","0"
"564","42","0","0","0","0"
"566","42","0","0","0","0"
"568","42","0","0","0","0"
"570","42","6","0","0","0"
"572","42","6","0","0","0"
"574","42","6","0","0","0"
"576","42","0","0","0","0"
"578","42","0","0","0","0"
"580","42","0","0","0","0"
"582","42","0","0","0","0"
"584","42","0","0","0","0"
"586","42","0","0","0","0"
"588","42","0","0","0","0"
"590","42","0","0","0","0"
"592","42","0","0","0","0"
"594","42","0","0","0","0"
"596","42","0","0","0","0"
"598","42","0","0","0","0"
"600","42","0","0","0","0"
"602","42","0","0","0","0"
"604","42","0","0","0","0"
"606","42","0","0","0","0"
"608","42","0","0","0","0"
"610","42","0","0","0","0"
"612","42","0","0","0","0"
"614","42","0","0","0","0"
"616","38","0","0","0","0"
"618","38","0","0","0","0"
"620","38","0","0","0","0"
"622","38","0","0","0","0"
"624","38","0","0","0","0"
"626","38","0","0","0","0"
"628","38","0","0","0","0"
"630","38","0","0","0","0"
"632","38","0","0","0","0"
"634","38","0","0","0","0"
"636","38","0","0","0","0"
"638","38","0","0","0","0"
"640","38","0","0","0","0"
"642","38","0","0","0","0"
"644","38","0","0","0","0"
"646","44","0","0","0","0"
"648","48","0","0","0","0"
"650","48","0","0","0","0"
"652","48","0","0","0","0"
"654","48","0","0","0","0"
"656","52","0","0","0","0"
"658","52","0","0","0","0"
"660","52","0","0","0","0"
"662","52","0","0","0","0"
"664","52","0","0","0","0"
"666","52","0","0","0","0"
"668","52","0","0","0","0"
"670","52","0","0","0","0"
