"Time","Interest","Cliche","Dumb","WTF","Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","1","1","1","1","1"
"8","1","1","1","1","1"
"10","1","1","1","1","1"
"12","1","1","1","1","1"
"14","1","1","1","1","1"
"16","1","1","1","1","1"
"18","1","1","1","1","1"
"20","1","1","1","1","1"
"22","1","1","1","1","1"
"24","1","1","1","1","1"
"26","1","1","1","1","1"
"28","6","1","1","1","1"
"30","22","1","1","1","1"
"32","28","1","1","1","1"
"34","28","1","1","1","1"
"36","28","1","1","1","1"
"38","28","1","1","1","1"
"40","28","1","1","1","1"
"42","28","1","1","1","1"
"44","28","1","1","1","1"
"46","40","1","1","1","1"
"48","40","1","1","1","1"
"50","40","1","1","1","1"
"52","40","1","1","1","1"
"54","46","1","1","1","1"
"56","46","1","1","1","1"
"58","52","1","1","1","1"
"60","58","1","1","1","1"
"62","48","1","1","1","1"
"64","44","1","1","1","1"
"66","44","1","1","1","1"
"68","44","1","1","1","1"
"70","50","1","1","1","1"
"72","50","1","1","1","1"
"74","50","1","1","1","1"
"76","52","1","1","1","1"
"78","52","1","1","1","1"
"80","52","1","1","1","1"
"82","52","1","1","1","1"
"84","52","1","1","1","1"
"86","52","1","1","1","1"
"88","52","1","1","1","1"
"90","52","1","1","1","1"
"92","52","1","1","1","1"
"94","52","1","1","1","1"
"96","52","1","1","1","1"
"98","52","1","1","1","1"
"100","52","1","1","1","1"
"102","52","1","1","1","1"
"104","52","1","1","1","1"
"106","52","1","1","1","1"
"108","52","1","1","1","1"
"110","52","1","1","1","1"
"112","52","1","1","1","1"
"114","52","1","1","1","1"
"116","52","1","1","1","1"
"118","48","1","1","1","1"
"120","46","1","1","1","1"
"122","52","1","1","1","1"
"124","52","1","1","1","1"
"126","52","1","1","1","1"
"128","52","1","1","1","1"
"130","52","1","1","1","1"
"132","52","1","1","1","1"
"134","52","1","1","1","1"
"136","52","1","1","1","1"
"138","52","1","1","1","1"
"140","52","1","1","1","1"
"142","52","1","1","1","1"
"144","52","1","1","1","1"
"146","52","1","1","1","1"
"148","52","1","1","1","1"
"150","52","1","1","1","1"
"152","52","1","1","1","1"
"154","52","1","1","1","1"
"156","52","1","1","1","1"
"158","52","1","1","1","1"
"160","52","1","1","1","1"
"162","52","1","1","1","1"
"164","52","1","1","1","1"
"166","52","1","1","1","1"
"168","52","1","1","1","1"
"170","52","1","1","1","1"
"172","52","1","1","1","1"
"174","52","1","1","1","1"
"176","52","1","1","1","1"
"178","52","1","1","1","1"
"180","52","1","1","1","1"
"182","52","1","1","1","1"
"184","52","1","1","1","1"
"186","52","1","1","1","1"
"188","52","1","1","1","1"
"190","52","1","1","1","1"
"192","52","1","1","1","1"
"194","52","1","1","1","1"
"196","52","1","1","1","1"
"198","52","1","1","1","1"
"200","52","1","1","1","1"
"202","52","1","1","1","1"
"204","52","1","1","1","1"
"206","52","1","1","1","1"
"208","52","1","1","1","1"
"210","52","1","1","1","1"
"212","52","1","1","1","1"
"214","52","1","1","1","1"
"216","52","1","1","1","1"
"218","52","1","1","1","1"
"220","52","1","1","1","1"
"222","52","1","1","1","1"
"224","52","1","1","1","1"
"226","52","1","1","1","1"
"228","52","1","1","1","1"
"230","52","1","1","1","1"
"232","52","1","1","1","1"
"234","52","1","1","1","1"
"236","52","1","1","1","1"
"238","52","1","1","1","1"
"240","52","1","1","1","1"
"242","52","1","1","1","1"
"244","52","1","1","1","1"
"246","52","1","1","1","1"
"248","52","1","1","1","1"
"250","52","1","1","1","1"
"252","52","1","1","1","1"
"254","52","1","1","1","1"
"256","52","1","1","1","1"
"258","52","1","1","1","1"
