Time,Interest,Cliche
0,2,2
2,2,2
4,2,2
6,8,2
8,4,2
10,4,2
12,4,2
14,4,2
16,4,2
18,4,2
20,4,2
22,4,2
24,4,2
26,14,2
28,14,2
30,14,2
32,14,2
34,8,2
36,4,2
38,10,2
40,12,2
42,12,2
44,12,2
46,12,2
48,32,2
50,46,2
52,50,2
54,50,2
56,46,2
58,44,2
60,32,2
62,32,2
64,32,2
66,34,2
68,34,2
70,34,2
72,34,2
74,30,2
76,20,2
78,20,2
80,20,2
82,18,2
84,16,2
86,16,2
88,16,2
90,16,2
92,16,2
94,14,2
96,12,2
98,12,2
100,12,2
102,12,2
104,12,2
106,12,2
108,12,2
110,12,2
112,20,2
114,20,2
116,20,2
118,20,2
120,20,2
122,26,2
124,26,2
126,26,2
128,26,2
130,24,2
132,22,2
134,22,2
136,22,2
138,34,2
140,46,2
142,46,2
144,46,2
146,54,2
148,54,2
150,56,2
152,56,2
154,56,2
156,56,2
158,56,2
160,56,2
162,54,2
164,46,2
166,46,2
168,46,2
170,46,2
172,46,2
174,46,2
176,46,2
178,56,2
180,74,2
182,36,2
184,38,2
186,38,2
188,38,2
190,38,2
192,38,2
194,38,2
196,38,2
198,38,2
200,38,2
202,38,2
204,38,2
206,38,2
208,38,2
210,38,2
212,38,14
214,38,26
216,38,32
218,38,32
220,28,32
222,28,32
224,28,54
226,28,64
228,28,64
230,28,52
232,28,50
234,28,40
236,28,44
238,28,44
240,28,44
242,28,68
244,28,68
246,28,68
248,28,56
250,28,44
252,28,24
254,28,24
256,28,24
258,28,24
260,28,34
262,42,34
264,42,34
266,42,34
268,42,34
270,42,34
272,42,34
274,42,34
276,42,34
278,42,16
280,42,16
282,42,16
284,42,50
286,42,16
288,42,16
290,42,16
292,42,16
294,54,16
296,54,12
298,54,2
300,28,2
302,28,2
304,28,2
306,28,2
308,16,2
310,16,2
312,16,2
314,16,10
316,16,10
318,16,14
320,16,4
322,16,4
324,16,4
326,30,4
328,30,4
330,30,4
332,28,4
334,28,2
336,28,2
338,28,2
