"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","1","1","1","1","1"
"8","1","1","1","1","1"
"10","12","1","1","1","1"
"12","12","1","1","1","1"
"14","22","1","1","1","1"
"16","22","1","1","1","1"
"18","22","1","1","1","1"
"20","22","1","1","1","1"
"22","22","1","1","1","1"
"24","22","1","1","1","1"
"26","22","1","1","1","1"
"28","42","1","1","1","1"
"30","42","1","1","1","1"
"32","42","1","1","1","1"
"34","44","1","1","1","1"
"36","44","1","1","1","1"
"38","44","1","1","1","1"
"40","44","1","1","1","1"
"42","44","1","1","1","1"
"44","44","1","1","1","1"
"46","44","1","1","1","1"
"48","44","1","1","1","1"
"50","44","1","1","1","1"
"52","44","1","1","1","1"
"54","44","1","1","1","1"
"56","44","1","1","1","1"
"58","44","1","1","1","1"
"60","44","1","1","1","1"
"62","44","1","1","1","1"
"64","44","1","1","1","1"
"66","44","1","1","1","1"
"68","42","1","1","1","1"
"70","40","1","1","1","1"
"72","36","1","1","1","1"
"74","36","1","1","1","1"
"76","36","1","1","1","1"
"78","34","1","1","1","1"
"80","34","1","1","1","1"
"82","34","1","1","1","1"
"84","34","1","1","1","1"
"86","34","1","1","1","1"
"88","34","1","1","1","1"
"90","34","1","1","1","1"
"92","34","1","1","1","1"
"94","34","1","1","1","1"
"96","34","1","1","1","1"
"98","34","1","1","1","1"
"100","34","1","1","1","1"
"102","34","1","1","1","1"
"104","34","1","1","1","1"
"106","34","1","1","1","1"
"108","34","1","1","1","1"
"110","34","1","1","1","1"
"112","34","1","1","1","1"
"114","34","1","1","1","1"
"116","34","8","1","1","1"
"118","34","8","1","1","1"
"120","34","8","1","1","1"
"122","34","8","1","1","1"
"124","34","8","1","1","1"
"126","34","6","1","1","1"
"128","34","8","1","1","1"
"130","24","1","1","1","1"
"132","24","1","1","1","1"
"134","24","1","1","1","1"
"136","24","1","1","1","1"
"138","24","1","1","1","1"
"140","24","1","1","1","1"
"142","24","1","1","1","1"
"144","24","1","1","1","1"
"146","24","1","1","1","1"
"148","24","1","1","1","1"
"150","24","1","1","1","1"
"152","24","1","1","1","1"
"154","24","1","1","1","1"
"156","24","1","1","1","1"
"158","24","1","1","1","1"
"160","24","1","1","1","1"
"162","24","1","1","1","1"
"164","24","1","1","1","1"
"166","24","1","1","1","1"
"168","24","1","1","1","1"
"170","24","1","1","1","1"
"172","24","1","1","1","1"
"174","24","1","1","1","1"
"176","24","1","1","1","1"
"178","24","1","1","1","1"
"180","24","1","1","1","1"
"182","28","1","1","1","1"
"184","28","1","1","1","1"
"186","28","1","1","1","1"
"188","28","1","1","1","1"
"190","28","1","1","1","1"
"192","28","1","1","1","1"
"194","28","1","1","1","1"
"196","28","1","1","1","1"
"198","28","1","1","1","1"
"200","28","1","1","1","1"
"202","24","1","1","1","1"
"204","24","1","1","1","1"
"206","24","1","1","1","1"
"208","24","1","1","1","1"
"210","24","1","1","1","1"
"212","24","1","1","1","1"
"214","32","1","1","1","1"
"216","32","1","1","1","1"
"218","32","1","1","1","1"
"220","40","1","1","1","1"
"222","42","1","1","1","1"
"224","42","1","1","1","1"
"226","42","1","1","1","1"
"228","42","1","1","1","1"
"230","42","1","1","1","1"
"232","42","1","1","1","1"
"234","42","1","1","1","1"
"236","42","1","1","1","1"
"238","42","1","1","1","1"
"240","42","1","1","1","1"
"242","42","1","1","1","1"
"244","42","1","1","1","1"
"246","42","1","1","1","1"
"248","42","1","1","1","1"
"250","42","1","1","1","1"
"252","42","1","1","1","1"
"254","42","1","1","1","1"
"256","42","1","1","1","1"
