"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","6","1","1","1","1"
"8","6","1","1","1","1"
"10","6","1","1","1","1"
"12","6","1","1","1","1"
"14","6","1","1","1","1"
"16","6","1","1","1","1"
"18","6","1","1","1","1"
"20","6","1","1","1","1"
"22","6","1","1","1","1"
"24","14","1","1","1","1"
"26","14","1","1","1","1"
"28","14","1","1","1","1"
"30","14","1","1","1","1"
"32","14","1","1","1","1"
"34","30","1","1","1","1"
"36","30","1","1","1","1"
"38","30","1","1","1","1"
"40","30","1","1","1","1"
"42","30","1","1","1","1"
"44","30","1","1","1","1"
"46","30","1","1","1","1"
"48","30","1","1","1","1"
"50","30","1","1","1","1"
"52","30","1","1","1","1"
"54","30","1","1","1","1"
"56","36","1","1","1","1"
"58","44","1","1","1","1"
"60","44","1","1","1","1"
"62","44","1","1","1","1"
"64","44","1","1","1","1"
"66","44","1","1","1","1"
"68","44","1","1","1","1"
"70","44","1","1","1","1"
"72","44","1","1","1","1"
"74","46","1","1","1","1"
"76","46","1","1","1","1"
"78","46","1","1","1","1"
"80","46","1","1","1","1"
"82","46","1","1","1","1"
"84","46","1","1","1","1"
"86","46","1","1","1","1"
"88","46","1","1","1","1"
"90","46","1","1","1","1"
"92","46","1","1","1","1"
"94","46","1","1","1","1"
"96","46","1","1","1","1"
"98","46","1","1","1","1"
"100","46","1","1","1","1"
"102","46","1","1","1","1"
"104","46","1","1","1","1"
"106","46","1","1","1","1"
"108","46","1","1","1","1"
"110","46","1","1","1","1"
"112","46","1","1","1","1"
"114","46","1","1","1","1"
"116","46","1","1","1","1"
"118","46","1","1","1","1"
"120","44","1","1","1","1"
"122","44","1","1","1","1"
"124","44","1","1","1","1"
"126","44","1","1","1","1"
"128","44","1","1","1","1"
"130","44","1","1","1","1"
"132","44","1","1","1","1"
"134","44","1","1","1","10"
"136","44","1","1","1","10"
"138","44","1","1","1","6"
"140","44","1","1","1","4"
"142","44","1","1","1","4"
"144","44","1","1","1","4"
"146","44","1","1","1","4"
"148","44","1","1","1","1"
"150","44","1","1","1","1"
"152","44","1","1","1","1"
"154","44","1","1","1","1"
"156","44","1","1","1","1"
"158","44","1","1","1","1"
"160","44","1","1","1","1"
"162","44","1","1","1","1"
"164","44","1","1","1","1"
"166","44","1","1","1","1"
"168","44","1","1","1","1"
"170","44","1","1","1","1"
"172","44","1","1","1","1"
"174","44","1","1","1","1"
"176","44","1","1","1","1"
"178","44","1","1","1","1"
"180","44","1","1","1","1"
"182","44","1","1","1","1"
"184","44","1","1","1","1"
"186","44","1","1","1","1"
"188","44","1","1","1","1"
"190","44","1","1","1","1"
"192","44","1","1","1","1"
"194","44","1","1","1","1"
"196","48","1","1","1","1"
"198","48","1","1","1","1"
"200","48","1","1","1","1"
"202","48","1","1","1","1"
"204","48","1","1","1","1"
"206","48","1","1","1","1"
"208","48","1","1","1","1"
"210","48","1","1","1","1"
"212","48","1","1","1","1"
"214","48","1","1","1","1"
"216","48","1","1","1","1"
"218","48","1","1","1","1"
"220","48","1","1","1","1"
"222","48","1","1","1","1"
"224","48","1","1","1","1"
"226","48","1","1","1","1"
"228","48","1","1","1","1"
"230","48","1","1","1","1"
"232","48","1","1","1","1"
"234","48","1","1","1","1"
"236","48","1","1","1","1"
"238","54","1","1","1","1"
"240","54","1","1","1","1"
"242","54","1","1","1","1"
"244","54","1","1","1","1"
"246","54","1","1","1","1"
"248","54","1","1","1","1"
"250","54","1","1","1","1"
"252","54","1","1","1","1"
"254","54","1","1","1","1"
"256","54","1","1","1","1"
