"Time","Interest","Cliche","Dumb","WTF","Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","1","1","1","1","1"
"8","1","1","1","1","1"
"10","12","1","1","1","1"
"12","18","1","1","1","1"
"14","18","1","1","1","1"
"16","18","1","1","1","1"
"18","18","1","1","1","1"
"20","18","1","1","1","1"
"22","18","1","1","1","1"
"24","18","1","1","1","1"
"26","18","1","1","1","1"
"28","18","1","1","1","1"
"30","18","1","1","1","1"
"32","18","1","1","1","1"
"34","18","1","1","1","1"
"36","18","1","1","1","1"
"38","24","1","1","1","1"
"40","24","1","1","1","1"
"42","24","1","1","1","1"
"44","36","1","1","1","1"
"46","36","1","1","1","1"
"48","36","1","1","1","1"
"50","36","1","1","1","1"
"52","36","1","1","1","1"
"54","36","1","1","1","1"
"56","36","1","1","1","1"
"58","36","1","1","1","1"
"60","36","1","1","1","1"
"62","36","1","1","1","1"
"64","48","1","1","1","1"
"66","48","1","1","1","1"
"68","48","1","1","1","1"
"70","48","1","1","1","1"
"72","48","1","1","1","1"
"74","48","1","1","1","1"
"76","48","1","1","1","1"
"78","48","1","1","1","1"
"80","48","1","1","1","1"
"82","48","1","1","1","1"
"84","48","1","1","1","1"
"86","48","1","1","1","1"
"88","48","1","1","1","1"
"90","48","1","1","1","1"
"92","48","1","1","1","1"
"94","48","1","1","1","1"
"96","48","1","1","1","1"
"98","48","1","1","1","1"
"100","48","1","1","1","1"
"102","48","1","1","1","1"
"104","48","1","1","1","1"
"106","48","1","1","1","1"
"108","48","1","1","1","1"
"110","48","1","1","1","1"
"112","48","1","1","1","1"
"114","52","1","1","1","1"
"116","50","1","1","1","1"
"118","50","1","1","1","1"
"120","50","1","1","1","1"
"122","50","1","1","1","1"
"124","50","1","1","1","1"
"126","50","1","1","1","1"
"128","50","1","1","1","1"
"130","50","1","1","1","1"
"132","50","1","1","1","1"
"134","50","1","1","1","1"
"136","50","1","1","1","1"
"138","50","1","1","1","1"
"140","50","1","1","1","1"
"142","56","1","1","1","1"
"144","54","1","1","1","1"
"146","54","1","1","1","1"
"148","56","1","1","1","1"
"150","56","1","1","1","1"
"152","56","1","1","1","1"
"154","56","1","1","1","1"
"156","56","1","1","1","1"
"158","56","1","1","1","1"
"160","56","1","1","1","1"
"162","56","1","1","1","1"
"164","56","1","1","1","1"
"166","56","1","1","1","1"
"168","56","1","1","1","1"
"170","58","1","1","1","1"
"172","56","1","1","1","1"
"174","58","1","1","1","1"
"176","58","1","1","1","1"
"178","58","1","1","1","1"
"180","58","1","1","1","1"
"182","58","1","1","1","1"
"184","56","1","1","1","1"
"186","56","1","1","1","1"
"188","56","1","1","1","1"
"190","56","1","1","1","1"
"192","56","1","1","1","1"
"194","56","1","1","1","1"
"196","56","1","1","1","1"
"198","56","1","1","1","1"
"200","56","1","1","1","1"
"202","56","1","1","1","1"
"204","56","1","1","1","1"
"206","58","1","1","1","1"
"208","60","1","1","1","1"
"210","60","1","1","1","1"
"212","60","1","1","1","1"
"214","60","1","1","1","1"
"216","60","1","1","1","1"
"218","60","1","1","1","1"
"220","60","1","1","1","1"
"222","60","1","1","1","1"
"224","60","1","1","1","1"
"226","60","1","1","1","1"
"228","60","1","1","1","1"
"230","60","1","1","1","1"
"232","60","1","1","1","1"
"234","60","1","1","1","1"
"236","60","1","1","1","1"
"238","60","1","1","1","1"
"240","60","1","1","1","1"
"242","60","1","1","1","1"
"244","60","1","1","1","1"
"246","54","1","1","1","1"
"248","54","1","1","1","1"
"250","54","1","1","1","1"
"252","54","1","1","1","1"
"254","54","1","1","1","1"
"256","54","1","1","1","1"
"258","54","1","1","1","1"
