0,interest,clich,funny
2,20,10,5
4,30,5,5
6,31,5,5
8,32,5,5
10,30,5,5
12,30,5,5
14,30,5,5
16,30,5,5
18,30,5,5
20,30,5,5
22,30,5,5
24,30,5,5
26,30,5,5
28,30,5,5
30,30,50,5
32,30,50,5
34,30,50,5
36,30,50,5
38,40,50,5
40,40,50,5
42,45,50,5
44,45,50,5
46,45,50,5
48,40,40,5
50,40,40,5
52,40,40,10
54,40,40,10
56,45,40,10
58,50,40,0
60,50,40,0
62,50,50,0
64,50,50,0
66,50,60,0
68,50,60,0
70,50,60,0
72,50,80,0
74,50,80,0
76,50,80,20
78,50,80,20
80,50,80,20
82,50,100,0
84,50,100,0
86,50,100,0
88,90,100,80
90,80,100,80
92,70,100,80
94,70,100,80
96,70,30,80
98,70,30,80
100,70,30,80
102,40,20,80
104,40,20,80
106,40,20,85
108,40,10,85
110,40,10,85
112,60,10,85
114,60,5,60
116,60,5,0
118,40,5,0
